Waffles, buttermilk, frozen, ready-to-heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snacks, corn-based, extruded, chips, barbecue-flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,523,2188,7,32.7,2.8,56.2,5.2,131,1.54,77,207,236,763,1.06,0.166,0.774,4.1,1.7,0.075,0.21,1.645,0.143,0.23,39,0,39,39,0,31,0,611,4.46,3.51,0.96,9.48,0.09,9.39,16.17,14.94,1.23,0,0.063,0.279,0.277,0.747,0.284,0.134,0.119,0.333,0.273,0.357,0.373,0.2,0.475,0.586,1.243,0.293,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snacks, corn-based, extruded, cones, plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,510,2134,5.8,26.9,2.3,62.9,1.1,3,2.54,11,44,81,1022,0.21,0.04,0.087,3.8,0,0.32,0.24,1.41,0.225,0.04,3,0,3,3,0,16,0,318,22.75,0.16,1.96,1.57,11.68,4.4,2.23,0.74,1.7,0,1.7,0.78,0.78,0.01,0,0.041,0.219,0.209,0.715,0.164,0.122,0.105,0.286,0.237,0.295,0.29,0.178,0.437,0.406,1.094,0.239,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snacks, fruit leather, pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3,359,1504,1,2.68,1.2,82.82,0,57.58,18,0.75,14,24,164,199,0.19,0.171,0.184,2.7,56,0.043,0.1,0.1,0.319,0.3,4,0,4,4,12.9,0,0,3,0,34,1,0,58,0,51,0.56,0,0,0,18.2,0.65,0,0,0,0,0,0.01,0.34,0.3,1.48,0,1.48,0,0,0.55,0.43,0.12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snacks, fruit leather, rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2,371,1551,0.1,3,0.9,85.8,0,49.16,32,1.01,20,31,294,317,0.19,0.171,0.184,0.4,120,0.084,0.02,0.1,0.029,0.3,2,0,2,2,13.2,0,0,6,0,34,1,0,57,0,41,0.56,0,0,0,18.2,0.672,0,0,0,0,0,0.01,0.002,0.34,0.004,0.3,0.01,0.006,1.48,0.002,0,0.004,1.48,0,0,0.552,0.43,0.12,0,0.002,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snacks, granola bars, hard, plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9,471,1972,10.1,19.8,1.9,64.4,5.3,28.57,61,2.95,97,277,336,294,2.03,0.392,1.777,16.2,0.9,0.264,0.119,1.581,0.813,0.085,23,0,23,23,22,6.9,0,0,2,0,17,6,0,33,0,189,2.09,0,0,0,14.6,2.37,0,0,0,0,0.01,0.01,1.54,0.76,4.38,0.01,4.37,0.13,0,12.05,11.99,0.06,0,0,0,0,0,0,0.177,0.264,0.352,0.724,0.4,0.177,0.304,0.479,0.352,0.508,0.674,0.216,0.46,0.83,1.975,0.499,0.518,0.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
